Serial_Number,text,relabel_llm_output,llm_model,Label_Topic,csw-removed-comment
1310,2:32  didn't you forget another high profile case of death in Mumbai ? Or did you conveniently purposely not include it as an example ? If you remember it was by someone with a surname starting with A and ending with I,6,llama3:70b,Views on Similar Cases in the Past,"""2:32  Didn't you forget another high-profile case of death in Mumbai? Or did you conveniently and purposely not include it as an example? If you remember it was by someone with a surname starting with 'A' and ending with 'I' :expressionless face"""
498,Not defending what the kid has done but just clarifying: Are we sure that the rider was also not drunk? I am only asking because they both were also coming back from a party..,1,llama3:70b,Public Safety,"""I'm not justifying what the child did, but I'm saying this: Are we certain the driver wasn't drunk as well? I'm asking because both of them were returning from a party at the time."""
3130,"How can the son‚Äôs family tell the driver to tell the police that he was driving ,When the driver wasn‚Äôt driving  at that time,its on social media that public is beating the young guy becoz he was driving,driver did the right things by  telling police that the family family is telling him that they will give him money,dont take the money and phucked up ,you will spend your whole life in the jail,just a suggestion",4,llama3:70b,Anger or Outrage,"""How can the son's family tell the driver to inform the police that he was driving when the driver wasn't driving at that time? It's on social media that the public is beating the young guy because he was driving. The driver did the right thing by telling the police that the family is pressuring him, saying they'll give him money, don't take it and mess up - you'll spend your whole life in jail. Just a suggestion"""
2588,"Insurance wale bhi bahot pareshan kar dete hai claim ke time  mere father ko Heart Attack se se unki death ho gai thi hospital me aur vo lic ki policy le rakhe the , mere ghar ka personal experience raha hai LIC walo ne 2018 se 2023 tak paper ke liye 5 saal tak har jagah bhagaya ye paper lao vo paper lao head office jao aur end me 8 month tak jitna payment kiye the papa ne vo hi return hua insurance ki policy 5 lakh ki thi aur 5 saal followup karane ke baad sirf nirasha , agar kisi ko meri baat galat lagega to vo apna no sent kare mai sare papers insurance policy deth certificate etc sent kar sakta hu hamare gahr ke 5 saal meri maa paper ke liye kabhi hospital kabhi insurance office kabhi head office ke chakkar kagwate rahe aur fir mila kuch nahi sirf jo bhare the utna hi mila ghar ki halat bahot. Badtar ho chki hai pata ka chota sa building matterial ki rent pe shop thi unke baad hume koi khas experience nhi tha then lockdown laga 2019 me uske baad deposit bhade me khatam aur shop band ek ummid thi insurance ke 5 Lakh milenge to fir se shop open karne me kuch help ho gi lakin sab khatam",4,llama3:70b,Anger or Outrage,"""They are also very troublesome with insurance claims. My father had LIC insurance, and he died of a heart attack in the hospital in 2018. We had the policy, but the LIC people kept sending us to get papers, from one place to another, from the hospital to the insurance office to the head office, for 5 years. We made payments for 8 months, but in the end, they just returned the insurance money. The policy was for 5 lakhs, and after 5 years of follow-up, we were left with nothing but disappointment. My mother and I ran around for 5 years, from one hospital to the insurance office to the head office, but we got nothing. Our situation has become even worse. We had a small shop, and we were paying rent for a building made of materials. After that, we had no good experience. Then the lockdown started in 2019, and our deposit was wasted, and the shop was closed. We had some hope that with the 5 lakh insurance money, we could reopen the shop, but it was all in vain."""
1710,Spineless Indian judiciary,0,llama3:70b,Judicial Accountability and Policy Demands,Indian judiciary has no backbone.
1648,"Prosecution side should move to High Court against this order :face_with_symbols_on_mouth:
Minor my foot 
He is drinking and going pub ......He should be assumed as an Adult and punished accordingly,:face_with_symbols_on_mouth:
What kind of judgement is that",0,llama3:70b,Judicial Accountability and Policy Demands,"""The prosecution should take this order to the High Court. This judge is not serious. He's saying a minor is drinking and going to pubs, but still treating them like a child - this is ridiculous. What kind of judgment is this? :face_with_symbols_on_mouth:"""
2460,"Never believe in indian justice system, i you love your dear ones.
Resolve and punish at your own capabilities, have guts to take brutal revenge.
Otherwise forget it.",0,llama3:70b,Judicial Accountability and Policy Demands,"""Never trust the Indian justice system, if you want to protect your loved ones. Take matters into your own hands and exact revenge if you have the courage. Otherwise, just give up."""
408,Where is the woke judiciary now:face_with_symbols_on_mouth:,0,llama3:70b,Judicial Accountability and Policy Demands,"""Where is the woke judiciary now?"""
2299,"Please  sir uttar pradesh ke government  school  or private  school par vedio bana do 
Taki government  neend se jag sake 
Esse berojgaro ka bhala ho jayega.",1,llama3:70b,Public Safety,"""Please, sir, make a video about the Uttar Pradesh government's response to schools, both public and private, so that the government wakes up. This will benefit the unemployed."""
659,"Last year, on January 1, one of my seniors from my department died because of a car accident in front of our university main gate. He was the only son of a lower-middle-class family. There was enough proof of that incident, but no step had been taken because the accused belongs to a political family. The lives of poor people do not matter anymore. :crying_face:",1,llama3:70b,Public Safety,"""Last year, on January 1, a senior from my department died in a car accident right in front of our university's main gate. He was the only son of a lower-middle-class family. There was clear evidence of the incident, but no action was taken because the accused is from a politically influential family. The lives of the poor no longer hold any value."" :crying_face:"
3086,.... the case will linger on till the hairs turn grey ....and no one remembers what was exactly the case .. this how the indian judicial system works,5,llama3:70b,Irrelevant/General Comments,"""...the case will linger on till the hairs turn grey, and no one remembers what was exactly the case. This is how the Indian judicial system works."""
3038,"India And Pakistan systems are the same, there are many similar cases here too but no justice.",6,llama3:70b,Views on Similar Cases in the Past,"""India and Pakistan have the same flawed systems, we have numerous similar cases here as well, but justice is never served."""
1515,"Bhai na apke video bnane se kuch hone wala hai, na logo k protest krne se. Jeb me paisa hona chaiye bs fir kanoon bhi apke jeb me, police bhi and court bhi:slightly_smiling_face:",2,llama3:70b,Socioeconomic Privilege,"""Brother, your video will lead to something happening, people will protest. Money should be in our pockets, but the law should also be in our pockets, the police too, and the court as well :slightly_smiling_face:"""
2600,Exactly what I wrote on Twitter (x) that is the worth of life is just a 300 word essay,4,llama3:70b,Anger or Outrage,"""This is exactly what I said on Twitter (x), and that's the value of life, reduced to just a 300-word essay."""
1492,"Justice for neet aspirants:crying_face:
Sir please raise your voice for us we need you :pensive_face:",2,llama3:70b,Socioeconomic Privilege,"""We need justice for NEET aspirants. Sir, please speak up for us, we require your support."""
155,Minor should be considered as adult. Minor knows to drink alcohol & drive. Also his family is rich & linked to powerful people due to which the previous court judgment was nuisance. It's time to see if law is same for everyone.,0,llama3:70b,Judicial Accountability and Policy Demands,"""Minors should be considered as adults. They know how to drink alcohol and drive. Plus, their family is wealthy and connected to influential people, which is why the previous court ruling was meaningless. Now it's time to see if the law applies equally to everyone."""
1507,"Rahul Baba, it's the law that under 18 will be considered as Juvenile. This law persisits since beginning. Why  your govt.did not change it last 60Years???",0,llama3:70b,Judicial Accountability and Policy Demands,"""Rahul Baba, the law that considers those under 18 as juveniles has been in place since the start. Why didn't your government change it over the past 60 years? :expressionless face"""
2639,"Where is the ""Big Statement""?",5,llama3:70b,Irrelevant/General Comments,"""Where is the big statement?"""
3039,"Ye baat correct hai Bharat me ameer aur ghareeb ke liye alag alag kanoon hai, police me hospital me  schools me even mandiron me bhi darshan ke liye VIP entry hoti hai..!!:confused_face:",2,llama3:70b,Socioeconomic Privilege,"""It's true in India, there are different laws for the rich and the poor, and even in police stations, hospitals, schools, and temples, VIP entries are made for viewing.:confused_face:"""
212,Same case in Nagpur,6,llama3:70b,Views on Similar Cases in the Past,The same situation is happening in Nagpur as well.
102,Most courrupt police commissioner :crying_face:,0,llama3:70b,Judicial Accountability and Policy Demands,"""The most corrupt police commissioner :crying_face:"""
1963,i was waiting for your video on this. you are so clear in your explanations,5,llama3:70b,Irrelevant/General Comments,"""I was waiting for your video on this. You are so clear in your explanations."""
600,"He will be punished due to social virality Concern is not about this case , concern is about all those cases which don't get such social recognition they (rayees baap ki bigde huwe auladai) have to say only sorry to the dead bodies and close the the case.
Everyone have to give.
Big salute for our indian judiciary:crying_face:.",0,llama3:70b,Judicial Accountability and Policy Demands,"""He will be punished due to social media outrage. The concern isn't just about this case, it's about all those cases that don't get the same social attention; they're the ones who just apologize to the families and close the case. Everyone has to take responsibility. A big salute to our Indian judiciary :crying_face:."""
1052,We want justice.,0,llama3:70b,Judicial Accountability and Policy Demands,"""We demand justice."""
2679,Not just civilians even indian army commits such acts drinking under influence and killing civilians.. in recent years there were two case in our town in one case army truck dragged the victim for around 100 meters.The army were beaten by civilians but i don't think they faced further consequences,6,llama3:70b,Views on Similar Cases in the Past,"""Not just civilians, even the Indian army commits such atrocities - they drink while on duty and kill innocent people. In recent years, there have been two cases in our town: in one incident, an army truck dragged a victim for around 100 meters. The army personnel were beaten by civilians, but I don't think they faced any further consequences."""
1437,Fck india law and govt,4,llama3:70b,Anger or Outrage,"""I completely reject the Indian law and government."""
492,Law is for poor,2,llama3:70b,Socioeconomic Privilege,"""Only the poor need to follow the law."""
2783,"In India, it's better to abolish police department and judiciary system. Let the people interpret what is real law and moral. Than only we all may know the reality and be cautious of the consequences. Otherwise, the rich act as they like and the poor are kept in immotional prison of unjust.",4,llama3:70b,Anger or Outrage,"""It's better to abolish the police department and judiciary system in India. Let the people decide what is the real law and morality. Then only we will know the truth and will be aware of the consequences. Otherwise, the rich will do as they please, and the poor will be trapped in an emotional prison of injustice."""
2790,"Indian Judiciary :
For Rich :clown_face:
For Poor :moai:

The court be like 7Cr 
2  jaan free mai gaya

Police be like : aabe raat ko girlfriend ke sath bike par kyu ghum raha tha, marega hi na.",0,llama3:70b,Judicial Accountability and Policy Demands,"""Indian Judiciary: 
For the Rich :clown_face:
For the Poor :moai:

The court is like 7 crores 
Two lives are free now.

The police are like 'Why were you riding a bike with your girlfriend at midnight, you'll get killed anyway.'"""
1510,"Actually, Indian law is outdated and weak. The Central Government with full majority has done no work on law updation but show off",0,llama3:70b,Judicial Accountability and Policy Demands,"""Actually, Indian law is outdated and weak. The Central Government, despite having a full majority, has failed to take any concrete steps to update the law, but instead, they're just putting up a show."""
2068,India m nyay sirf paise valo k liye h ...yha sb bikta h :grinning_face_with_sweat::grinning_face_with_sweat::grinning_face_with_sweat:,2,llama3:70b,Socioeconomic Privilege,"""Justice in India is only for those with money... everything is for sale here :grinning_face_with_sweat::grinning_face_with_sweat::grinning_face_with_sweat:"""
2445,Have you not heard about Sandeshkhali incident in West Bengal? We are expecting that you would make a video about this incident.,6,llama3:70b,Views on Similar Cases in the Past,"""We haven't heard about the Sandeshkhali incident in West Bengal yet, so we expect you to make a video about it."""
2755,Arey porsche hai to paisa waale honge judge ko 4-5 cr de diya honge bas simple,2,llama3:70b,Socioeconomic Privilege,"""They'll be the rich ones if they're driving a Porsche, they must have given 4-5 crores to the judge, it's that simple :expressionless face"""
2406,"after a few days peoples will forget about this and move on, justice won't be served just like Sushant singh Rajput case",6,llama3:70b,Views on Similar Cases in the Past,"""People will forget about this in a few days, but justice will never be served, just like it was in the Sushant Singh Rajput case :expressionless face"""
897,FINE SYSTEM SHOULD BE RUTHLESS....MIN FINE OF 5000 FOR EVEN A SMALL MISTAKE,1,llama3:70b,Public Safety,"The fine system should be merciless....a minimum fine of 5,000 for even a small mistake."
1171,"You should make video on iskon accident 
An adult boy (""tathya patel"")with his jaguar killed more than 9 people including 1-2 police constables",6,llama3:70b,Views on Similar Cases in the Past,"""You should make a video about the Iskcon accident. An adult man, Tathya Patel, along with his accomplice, was involved in a heinous crime where they killed over 9 people, including 1-2 police constables."""
786,Indian Judiciary :clown_face::clown_face:,0,llama3:70b,Judicial Accountability and Policy Demands,"""The Indian Judiciary is a joke :clown_face::clown_face:"""
1358,"From small town to city all ate under threat due to expensive bikes and car. When people go out for strolling on the road, sons of rich amd brainless people drive bikes and cars beyond limited speed making a huge noise. Old people and small children have to be very conscious",1,llama3:70b,Public Safety,"""People from small towns to cities are living in fear due to expensive bikes and cars. When people go out for a walk on the road, sons of the wealthy and brainless individuals drive bikes and cars at breakneck speeds, making a huge noise. As a result, old people and small children have to be extremely cautious :expressionless face"""
1837,Sir please justice for neet aspirants,5,llama3:70b,Irrelevant/General Comments,"""Sir, deliver justice to the NEET aspirants."""
1864,Justice for both,3,llama3:70b,Victim Sympathy,"""Equal justice for all."""
895,God bless you :folded_hands: brother,5,llama3:70b,Irrelevant/General Comments,"""God bless you, brother."""
648,200 kmph not even allowed on high end expressways,1,llama3:70b,Public Safety,"""High-end expressways can't even have a speed limit of 200 kmph."""
2926,Pl exposed the name of judge,3,llama3:70b,Victim Sympathy,"""Pl exposed the name of judge"" 
 translates to ""Please expose the name of the judge"""
369,Just think of the family who lost their near and dear ones... Pathetic....and really sick...money without knowledge and proper culture is dangerous...,3,llama3:70b,Victim Sympathy,"""Just think of the family who lost their loved ones... It's pathetic...and really sick...how someone with no knowledge and proper upbringing can handle money is a danger to society..."""
2975,Those who knows reality of dhruv rathee :skull_and_crossbones::thumbs_up::thumbs_up:,1,llama3:70b,Public Safety,"""Those who know the truth about Dhruv Rathee :skull_and_crossbones::thumbs_up::thumbs_up:"""
2178,Shame on the government.... They r a builder puppet,2,llama3:70b,Socioeconomic Privilege,"""Shame on the government. They are a puppet in the hands of the builders."""
2448,"‡§Ø‡•á ‡§á‡§Ç‡§∂‡•ç‡§Ø‡•ã‡§∞‡•á‡§Ç‡§∏ ‡§ï‡•á ‡§¨‡§æ‡§∞‡•á ‡§Æ‡•á‡§Ç ‡§§‡•ã ‡§∏‡§Æ‡§ù ‡§Ü ‡§ó‡§Ø‡§æ‡•§ ‡§≤‡•á‡§ï‡§ø‡§®, ‡§Ø‡•á ‡§¨‡§ö‡•ç‡§ö‡§® ‡§î‡§∞ ‡§ú‡§Ø ‡§¨‡§ö‡•ç‡§ö‡§® ‡§ï‡•ã ‡§•‡§Ç‡§¨ :thumbs_up_light_skin_tone: ‡§Æ‡•á‡§Ç ‡§ï‡•ç‡§Ø‡•ã‡§Ç ‡§¶‡§ø‡§ñ‡§æ‡§Ø‡§æ ‡§π‡•à? :face_with_tears_of_joy::face_with_tears_of_joy::smiling_face_with_smiling_eyes::smiling_face_with_smiling_eyes: That's useless...Topic is different and thumbnail is different. :face_with_monocle::face_with_raised_eyebrow:",5,llama3:70b,Irrelevant/General Comments,"""SC/ST Act khatam karne par CJI ko thanda paani pilana chahiye, kyun ki unka faisla sahi hai :thumbs_up_light_skin_tone:  CJI ko to thoda bhi dhyan rakhna chahiye, agar unka faisla galat ho jata hai to kya hoga? :face_with_tears_of_joy::face_with_tears_of_joy::smiling_face_with_smiling_eyes::smiling_face_with_smiling_eyes:  Is topic ko kyu khatam kiya gaya hai aur thumbnail kyu alag hi hai? :face_with_monocle::face_with_raised_eyebrow:"""
777,"More disgusting details emerging from what happened after the crash and the role of the police - including humiliating the family members of those who had died.
remember this could be you next - this is the joke of the law by a small time builder - hope it wakes SOME OF US UP !!!! 
https://timesofindia.indiatimes.com/city/pune/police-questioning-deceased-techies-relationship-family-alleges-vip-treatment-for-accused/articleshow/110283933.cms",0,llama3:70b,Judicial Accountability and Policy Demands,"""More disgusting details are surfacing about what happened after the crash and the police's role - including humiliating the family members of those who lost their lives.
This could happen to any of us next - this is the joke of the law by a small-time builder - I hope it will wake some of us up !!!! 
https://timesofindia.indiatimes.com/city/pune/police-questioning-deceased-techies-relationship-family-alleges-vip-treatment-for-accused/articleshow/110283933.cms"""
2740,Staggering deaths on road everyday is an evidence of our incompetency of our Traffic rules enforcement agencies,1,llama3:70b,Public Safety,"""Every day, the staggering number of road deaths is a clear indication of our incompetence in enforcing traffic rules."""
2937,"Justice for Gyan bhai Justice for Gyan bhai 
Justice for Gyan bhai 
Justice for Gyan bhai 
Justice for Gyan bhai 
Justice for Gyan bhai 
Justice for Gyan bhai Justice for Gyan bhai Justice for Gyan bhai 
Justice for Gyan bhai 
Justice for Gyan bhai 
Justice for Gyan bhai 
Justice for Gyan bhai 
Justice for Gyan bhai 
Justice for Gyan bhai 
Justice for Gyan bhai 
Accident cases
Accident cases
Accident cases
Accident cases
Accident cases
Accident cases",6,llama3:70b,Views on Similar Cases in the Past,"""Justice for Gyan bhai! Justice for Gyan bhai! 
This is a repeated demand for justice for Gyan bhai. 
Accident cases are being ignored, accident cases are being ignored, accident cases are being ignored, accident cases are being ignored, accident cases are being ignored, accident cases are being ignored."""
99,Doctors may have been pressured by political elements. Powerful father powerful connections..,0,llama3:70b,Judicial Accountability and Policy Demands,"""Doctors might have been coerced by the political establishment due to the influence of powerful connections and influential individuals."""
1818,No one is talking about Weak traffic rules and minor violating laws,1,llama3:70b,Public Safety,"""No one is discussing the weak traffic laws and minor violations.""

Note: I have maintained the original sentiment and tone of the comment, as it was a statement rather than a question."
2728,""" Under Article 14 of the Indian Constitution, all citizens are considered equal before the law. The laws are equally applicable to all without any discrimination on the basis of caste, religion, gender, and birth. ""

Look at it and laugh",0,llama3:70b,Judicial Accountability and Policy Demands,"""Under Article 14 of the Indian Constitution, all citizens are considered equal before the law. The laws are equally applicable to all without any discrimination on the basis of caste, religion, gender, and birth. ""

Look at it and laugh 😂"
406,Deepest condolences totheir families.,3,llama3:70b,Victim Sympathy,"""Deepest condolences to their families."""
1015,Shame on justice system,0,llama3:70b,Judicial Accountability and Policy Demands,Shame on the justice system
2166,Aakash ji we also see 2 wheelers given to boys of 8 yrs and below by their parents. Hope the Porsche incident will be taken very seriously. As I had texted earlier too can law and order come under judiciary so that no political parties can manipulate and help high profile escape stringent punishment,0,llama3:70b,Judicial Accountability and Policy Demands,"""Aakash ji, we also see eight-year-old boys being given two-wheelers by their parents. I hope the Porsche incident will be taken extremely seriously. As I mentioned earlier, can law and order come under the judiciary so that no political parties can manipulate and help high-profile individuals escape strict punishment."""
1758,"Why you forgot ""bhai jan""  foot path car drive and kill case",6,llama3:70b,Views on Similar Cases in the Past,"""You forgot the 'bhai jan' who drove a car on the footpath and killed people."""
1387,#7:55 It was Personal :face_with_tears_of_joy::face_with_tears_of_joy:,3,llama3:70b,Victim Sympathy,"""It was a very personal case :expressionless face."""
1072,What's the point for having a pedestrian lane if you don't move there. What an idiot,4,llama3:70b,Anger or Outrage,"""It's pointless to have a pedestrian lane if people don't follow the rules. What a fool"""
1296,Money always wins,2,llama3:70b,Socioeconomic Privilege,"""Money always wins"""
1695,Justice...:fire:,0,llama3:70b,Judicial Accountability and Policy Demands,"""Burning Justice"""
1742,MLA definitely came to save the son :check_mark_button:,2,llama3:70b,Socioeconomic Privilege,The MLA came to save his own son.
1032,What did the social media do in the case of the Nagpur incident? A similar case. Were you following up? The accused is still scot free. Media does a hype until their TRP ratings are achieved. Sad.,6,llama3:70b,Views on Similar Cases in the Past,"""They're still not taking action in the Nagpur case. Another similar case is happening and they're not doing anything about it. The accused is still roaming free. The media creates a huge hype just to increase their TRP ratings. How sad is that :expressionless face"""
2251,"I would say as a middle class family guy, there is no value of your life it doesn‚Äôt care what job u do how kuch u earn in this country, law is only taken in hands of wealthy people and also is influenced by them. Rest now i will suggest bachelors living far from parents to not go out for parties and all at late night bcoz there are many Vedant like filthy shit still doing same its just one case.Such incidents are then pressed on in long run for ex if u know case of ankita bhandari from Uttarakhand u will know how powerful waelthy people like politicians, business class people gets to have fun for this . I would suggest not to go out man life is in our hands now they cant do shit about every case will be forgotten in few days and as a night working person m also scared travelling everyday",6,llama3:70b,Views on Similar Cases in the Past,"""As a middle-class family man, I'd say there's no value to your life in this country, regardless of your job or earnings. The law is only in the hands of the wealthy, and they have a strong influence over it. I'd advise bachelors living away from their parents to be cautious when going out late at night, as there are still many Vedants who engage in filthy activities. These incidents are repeatedly exploited in the long run, such as the Ankita Bhandari case in Uttarakhand, where powerful individuals like politicians and businesspeople get away with their actions. I suggest you be careful, as life is in your hands now; they can't do anything about every case, and it'll be forgotten in a few days. As a night worker, I'm also scared of traveling every day. :expressionless face"""
175,I actually don't have faith in the Indian justice system as it is now. Serious overhauling of IPC and Constitution is the need of the hour.,0,llama3:70b,Judicial Accountability and Policy Demands,"""I don't have faith in the Indian justice system as it stands today. A thorough overhaul of the Indian Penal Code and the Constitution is urgently needed."""
2468,"Even if he would have been an adult nothing much would have happened because of money,  connections and corruption.",2,llama3:70b,Socioeconomic Privilege,"Even if he was an adult, nothing much would have happened because of money, connections, and corruption."
922,"That's the reason logo ko matter hath Mai Lena chaiye court and judge sab bikte hai paisa hona chaiye 
Isley kuch bhi ho matter khud solve Karo 
Saam damb",2,llama3:70b,Socioeconomic Privilege,"""That's the reason the logo should be paid from the court and judge as they are all making money. 
So, let the matter be solved by itself. 
Shame on them."""
1902,Dhruv:red_heart::red_heart:,4,llama3:70b,Anger or Outrage,"""Even in Modi ji's heart, it's true, it's true that he can do anything for dharma and the country."""
687,But they treat modified vehicle Owners like criminals...shame on the judge and system,4,llama3:70b,Anger or Outrage,"""They treat owners of modified vehicles like common criminals, it's a shame on the judge and the entire system."""
1414,"all culprits can act like this because the home minister is like Mr. Fasavnis

don't forget the Badlapur school rape case of 2 minor girls, where the school management tried to suppress the incident",3,llama3:70b,Victim Sympathy,"""All culprits can act with impunity because the Home Minister is as ineffective as Mr. Fasavnis.

Don't forget the Badlapur school rape case of the two minor girls, where the school management attempted to cover up the incident."""
603,"So,give them justice why are youbmaking video",4,llama3:70b,Anger or Outrage,"""Why are you making videos when you should be giving them justice?"""
1582,When he can drive and drink then he is not a minor. He must be punished.,4,llama3:70b,Anger or Outrage,"""He's old enough to drive and drink, so he's not a minor. He deserves to be punished."""
1268,The Govt should take strict action,0,llama3:70b,Judicial Accountability and Policy Demands,The Government should take strict action.
3114,This time ppl were there. Bt at the time of Salman khan many ppl were not there.,6,llama3:70b,Views on Similar Cases in the Past,"""This time people were present. But during the Salman Khan case, many people were not there."""
